RAJ2000,DEJ2000,zph,zsp,LBr,LBi,LTr,LTi,Ngal,NR200
111.48808,41.3852,0.124,12.96,16.05,53.1,66.3,28,31,
158.27031,34.5257,0.278,10.7,13.3,59.4,73,30,32,
155.45918,14.12228,0.243,0.24597,11.54,14.56,54.4,67.5,26,28
7.50555,14.29051,0.213,0.20745,13.64,16.84,63.8,79.5,32,36
243.18029,41.87891,0.284,0.29869,12.08,15.81,38.5,49.4,24,24
140.20712,2.75387,0.273,0.28425,9.17,12.06,78,97.7,36,48
126.73981,31.1347,0.219,0.20943,19.29,23.3,66.9,82,34,40
235.48776,42.82189,0.257,0.24759,10.65,12.83,88.2,108,32,42
205.12579,41.26013,0.251,0.2586,10.35,12.06,56.1,68,32,36
246.15543,11.78461,0.3,9.5,11.5,55.4,69.2,31,33,
151.35836,50.97797,0.235,0.22765,14.5,16.7,43.3,51.7,21,21
195.83751,40.84372,0.284,0.27937,9.13,11.09,63.9,77.1,30,33
333.23014,-7.77991,0.227,0.21567,17.86,22.18,47.6,58.5,23,24
134.88468,3.14474,0.197,0.19592,12.01,15.35,99,122.5,38,53
167.90485,4.21968,0.248,0.24757,12.47,15.52,65,79.8,31,34
154.42523,59.5484,0.294,7.39,9.2,135.9,165.1,55,72,
261.4572,31.55057,0.119,10.66,13.34,63.5,79.6,28,31,
149.07986,28.19919,0.205,11.93,14.88,68.3,84.3,30,42,
180.0463,68.1569,0.265,0.26278,14.31,18.56,56.9,72.5,23,23
231.08129,35.26648,0.262,0.25252,14.44,17.92,43.5,53.9,20,20
204.42031,40.99843,0.292,0.28947,11.56,14.16,68.7,84.7,34,39
133.80842,18.51291,0.284,9.62,11.96,63.5,77.9,30,34,
134.03549,54.31523,0.251,0.25935,13.87,17.23,67.8,84.9,29,34
237.97025,5.53322,0.265,0.25042,13.18,16.03,50.3,60.6,24,25
185.02421,34.53828,0.246,14.9,18.59,74.8,90.9,37,44,
130.13605,5.71286,0.275,0.27395,14.51,18.2,81.6,102.1,33,40
198.5821,-1.45723,0.181,0.18012,13.37,16.82,57.9,72.1,27,27
154.42031,23.69693,0.254,18.8,22.7,79.8,96.7,28,34,
127.28847,32.45876,0.265,0.27838,9.09,11.8,58.2,73.6,30,35
151.66176,25.91245,0.122,12.47,15.83,45.2,56.7,29,32,
135.37558,55.65464,0.116,0.11545,11.36,14.47,41.3,52.3,20,19
149.49719,3.45718,0.17,0.16532,10.59,13.28,65.6,81.2,39,46
224.98131,23.12711,0.184,9.61,11.62,71.9,88.8,38,50,
175.55518,11.90599,0.157,0.15254,12.2,15.11,42.7,52.7,23,24
206.09675,11.6491,0.111,12.19,15.32,68.6,85.5,35,41,
133.65253,0.64257,0.122,0.10694,10.46,13.2,44.7,56.1,27,29
231.10029,30.00605,0.119,0.11749,11.58,14.49,104.5,130.2,45,77
186.67694,19.8407,0.24,13.67,17.12,69.1,85.7,27,29,
142.1527,37.78979,0.254,0.24503,8.42,10.1,111.7,136,41,50
188.48058,15.43305,0.243,9.17,11.08,95.2,114.7,42,62,
220.61664,32.57871,0.251,16.17,19.72,89.6,107.8,32,40,
161.21474,35.52699,0.165,11.42,14.17,75.5,94.5,35,50,
130.62905,8.2609,0.235,8.67,10.78,90.6,112.3,45,55,
206.08011,39.11084,0.294,9.56,12.92,49.5,63.3,21,21,
167.79672,0.75217,0.189,0.18466,10.47,13.1,64,79.1,32,36
160.47094,-2.6081,0.224,11.48,14.46,71.2,87.8,35,41,
241.81315,32.10667,0.2,11.7,15.02,63.7,79.2,32,36,
239.42665,35.50827,0.159,0.15891,8.27,10.45,70.3,87.2,35,49
236.83878,20.92854,0.267,11.77,14.25,59.8,73.6,28,30,
231.41391,29.60355,0.103,0.0557,19.89,24.26,96.4,119.4,33,48
197.94248,22.02702,0.178,13.06,15.95,51.9,63.4,26,29,
177.8251,42.38744,0.24,0,13.57,16.65,81.5,99.4,33,46
223.0844,20.48751,0.289,12.47,15.6,48.4,59.6,24,24,
259.39977,36.47035,0.173,12.29,15.38,53.4,66.5,30,34,
224.07896,59.59342,0.254,0.23506,14.13,17.28,39.1,48.1,24,24
176.13868,39.93349,0.292,9.37,11.45,115.5,142.8,49,60,
140.50206,51.92243,0.221,0.20393,10.29,12.62,120,146.7,47,62
353.34459,-1.1486,0.108,14.14,18.03,41.1,51.9,25,25,
